status	status_detail	family	model	ckpt_label	source_line	nonempty_metrics	avg	lambada_openai	arc_easy	boolq	hellaswag	openbookqa	piqa	rte	winogrande
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlgh1p0-xl0--1-xs1-gb2048-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlgh1p0-xl0--1-xs1-gb2048-lr5e-4-minlr5e-5-s1337-lrlr10	42	8	38.84	711332626382322.1	25.29	38.32	25.58	29.6	51.74	52.71	48.62
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlgh1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlgh1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	43	8	38.71	710349753750399.5	25.0	37.86	25.58	29.6	51.58	52.71	48.62
exclude	unstable_lambada_gt_1000	0p7b	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlgh1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlgh1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	44	8	38.84	711332626382322.1	25.29	38.32	25.58	29.6	51.74	52.71	48.62
keep	main_analysis	1p4b	xsa-paper-1p4b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr4e-4-minlr4e-5-s1337-lrlr10	xsa-paper-1p4b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr4e-4-minlr4e-5-s1337-lrlr10	49	8	49.47	34.0392	46.0	60.83	36.59	29.2	67.25	55.6	50.83
keep	main_analysis	1p4b	xsa-paper-1p4b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	xsa-paper-1p4b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10	51	8	51.33	15.1088	52.27	60.24	45.25	30.4	71.11	47.65	52.41
keep	main_analysis	1p4b	xsa-paper-1p4b-baseline-fineweb100bt-ctx2048-gb256-lr4e-4-s1337	xsa-paper-1p4b-baseline-fineweb100bt-ctx2048-gb256-lr4e-4-s1337	52	6	45.38	9.815	43.86		38.8	27.2	65.56		51.46
exclude	unstable_lambada_gt_1000	1p4b	xsa-paper-1p4b-attn_para_removal-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr4e-4-s1337	xsa-paper-1p4b-attn_para_removal-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr4e-4-s1337	45	8	43.71	1946.7583	31.1	53.27	30.0	33.6	57.24	50.18	50.59
exclude	duplicate_noncanonical	1p4b	xsa-paper-1p4b-attn_para_removal-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr4e-4-s1337	xsa-paper-1p4b-attn_para_removal-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr4e-4-s1337	46	8	44.01	7459.2032	30.77	53.91	29.99	31.0	58.76	50.54	53.12
exclude	unstable_lambada_gt_1000	1p4b	xsa-paper-1p4b-attn_para_removal-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr4e-4-s1337	xsa-paper-1p4b-attn_para_removal-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr4e-4-s1337	47	8	45.01	10579.8042	31.94	60.55	29.7	29.0	59.85	51.62	52.41
exclude	duplicate_noncanonical	1p4b	xsa-paper-1p4b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr4e-4-minlr4e-5-s1337-lrlr10	xsa-paper-1p4b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr4e-4-minlr4e-5-s1337-lrlr10	48	6	49.15	34.0505		60.8	36.59	29.2	67.3		51.85
