model,setting,openbookqa,piqa,rte,winogrande,boolq,arc_challenge,hellaswag,mmlu,gsm8k,humaneval,nq_open,drop,mbpp,bbh_cot_zeroshot,mts_dialog,ruler,truthfulqa_gen,avg
Qwen_Qwen3-4B,xsa_middle_multihead-add_parallel-a1p5,40.2,75.14,75.45,67.25,85.05,61.69,69.65,60.0,85.06,70.73,15.6,9.95,62.8,81.2,,,,61.41
Qwen_Qwen3-4B,xsa_middle_multihead-add_parallel-a2p0,41.0,74.92,75.45,67.17,85.14,61.86,69.68,62.0,84.69,69.51,15.57,9.95,63.8,79.6,,,,61.45
Qwen_Qwen3-4B,xsa_middle_multihead-add_parallel-a4p0,40.8,75.19,75.45,67.56,85.17,62.12,69.59,63.0,85.22,70.12,15.43,9.7,63.6,81.2,,,,61.73
Qwen_Qwen3-4B,xsa_middle_multihead-remove_parallel-a0p25,40.2,74.86,75.81,67.17,85.26,61.86,69.71,60.0,84.84,73.17,15.65,9.98,61.8,78.8,,,,61.36
Qwen_Qwen3-4B,xsa_middle_multihead-remove_parallel-a0p5,40.0,75.08,75.81,67.64,85.17,62.2,69.71,61.0,84.91,71.95,15.84,9.83,62.8,79.2,,,,61.51
Qwen_Qwen3-4B,xsa_middle_multihead-remove_parallel-a1p0,39.8,74.59,76.17,67.8,85.11,61.95,69.75,60.0,85.37,73.78,15.9,9.9,62.4,77.6,,,,61.44
Qwen_Qwen3-4B,xsa_middle_multihead-remove_parallel-a1p5,40.4,75.19,76.17,67.17,85.2,61.95,69.64,62.0,84.76,72.56,15.54,10.05,63.0,82.0,,,,61.83
Qwen_Qwen3-4B,xsa_middle_multihead-remove_parallel-a2p0,40.4,74.97,76.17,66.77,85.05,61.77,69.71,62.0,84.61,73.17,15.57,9.95,63.4,82.0,,,,61.82
Qwen_Qwen3-4B,xsa_middle_multihead-remove_parallel-a4p0,40.6,75.19,75.81,67.17,84.95,62.12,69.49,58.0,84.38,71.34,15.37,10.09,64.0,79.6,,,,61.29
Qwen_Qwen3-4B-Base,none,38.0,75.9,78.7,70.64,81.35,59.9,72.66,53.0,17.29,7.32,9.14,7.74,10.4,66.0,,,,46.29
Qwen_Qwen3-4B-Base,xsa_middle_multihead,37.8,75.84,78.34,70.17,80.8,59.73,72.54,53.0,,,,,,,,,,66.03
meta-llama_Llama-3.2-3B,none,40.8,77.97,55.6,71.03,73.76,50.85,76.67,32.0,28.51,27.44,22.96,1.6,38.6,63.6,12.68,,627.36,81.34
meta-llama_Llama-3.2-3B,residual_attn,39.8,78.51,54.15,71.98,74.56,,,,,,,,,,,,,63.8
meta-llama_Llama-3.2-3B,xsa_middle_multihead,40.8,77.69,55.6,71.03,73.76,50.85,76.54,31.0,27.37,28.05,22.77,1.6,38.4,64.0,,,619.52,85.27
meta-llama_Llama-3.2-3B,xsa_middle_multihead-add_parallel-a1p0,41.0,77.8,56.68,72.45,73.76,51.02,76.64,30.0,27.07,27.44,22.52,1.58,38.2,64.0,,,,47.15
