model_size,curve_name,original_run_name,x_name,step,val_loss,clip_min_step,clip_max_step
296m,Value-Space Rotation,run_20260430_286be9fc,Step,4141.0,2.823422,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,4242.0,2.823502,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,606.0,3.222839,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,707.0,3.160045,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,808.0,3.116888,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,909.0,3.103606,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,1010.0,3.06042,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,1111.0,3.050497,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,1212.0,3.012536,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,1313.0,3.015169,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,1414.0,2.986449,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,1515.0,2.987178,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,1616.0,2.954642,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,1717.0,2.955034,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,1818.0,2.955533,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,1919.0,2.93889,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,2020.0,2.929367,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,2121.0,2.924761,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,2222.0,2.918302,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,2323.0,2.911836,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,2424.0,2.904566,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,2525.0,2.947712,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,2626.0,2.910096,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,2727.0,2.903166,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,2828.0,2.901237,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,2929.0,2.888234,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,3030.0,2.8945,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,3131.0,2.909609,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,3232.0,2.884955,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,3333.0,2.889964,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,3434.0,2.881161,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,3535.0,2.885879,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,3636.0,2.875612,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,3737.0,2.857519,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,3838.0,2.854952,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,3939.0,2.858199,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,4040.0,2.855975,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,4141.0,2.849094,600,4242.0
436m,Baseline,run_20260417_eae7978c,Step,4242.0,2.858845,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,606.0,3.219749,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,707.0,3.157784,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,808.0,3.113598,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,909.0,3.099413,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,1010.0,3.057059,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,1111.0,3.047228,600,4242.0
436m,Residual Rotation,run_20260415_b61fbe62,Step,1212.0,3.009576,600,4242.0
