source,phase,layer,part,metric,n,mean,median,p10,p90,min,max
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,21,attn_update,value_pre_perp_ratio,1013,0.839019798128528,0.8413804160390629,0.7766374576364138,0.8973654681899683,0.579980387288736,0.9742071871935034
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,21,attn_update,value_pre_self_alignment,1013,0.5364774474533972,0.5404433608055115,0.44128800630569454,0.6299478054046631,0.2256556898355484,0.814630389213562
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,21,attn_update,value_pre_self_value_norm,1013,42.34922272172873,42.57083511352539,37.265831756591794,47.337347412109374,12.37087631225586,56.9540901184082
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,22,attn_update,value_pre_norm,1013,21.342094354544788,21.25838279724121,17.56488456726074,25.13428764343262,11.436202049255371,32.8416633605957
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,22,attn_update,value_pre_para_perp_ratio,1013,0.6744847976678922,0.673400342464447,0.5460025787353515,0.8089524745941163,0.33233383297920227,1.0046309232711792
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,22,attn_update,value_pre_para_ratio,1013,0.5551918621551554,0.5585609664405016,0.47922277369594596,0.628929789276845,0.3153739781014603,0.7087383984317326
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,22,attn_update,value_pre_perp_ratio,1013,0.8288570040077796,0.8294634633423159,0.7774620452742342,0.8776932656378247,0.7054713938839324,0.9489674470168986
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,22,attn_update,value_pre_self_alignment,1013,0.5551918589115613,0.5585609078407288,0.4792227506637573,0.6289297819137574,0.315373957157135,0.7087384462356567
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,22,attn_update,value_pre_self_value_norm,1013,51.53305837926836,51.31867980957031,46.43392486572266,57.01993713378907,9.21837043762207,79.82205200195312
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,23,attn_update,value_pre_norm,1013,22.989023983419706,23.054336547851562,19.072060775756835,26.82910385131836,10.6640043258667,33.25115966796875
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,23,attn_update,value_pre_para_perp_ratio,1013,0.6963205962402329,0.6973890662193298,0.547306501865387,0.8436257243156433,0.26304203271865845,1.0461294651031494
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,23,attn_update,value_pre_para_ratio,1013,0.5662253206792167,0.5720241653417171,0.48010368670260317,0.6448154043775748,0.25438850033104904,0.7228646962067805
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,23,attn_update,value_pre_perp_ratio,1013,0.8204595974716485,0.8202367863317241,0.7643382962379803,0.8772117459339349,0.6909896914166233,0.9671021148617363
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,23,attn_update,value_pre_self_alignment,1013,0.5662253222484344,0.5720241665840149,0.4801037311553955,0.644815468788147,0.2543884813785553,0.7228646278381348
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,23,attn_update,value_pre_self_value_norm,1013,50.750481281675924,51.04682159423828,43.89367599487305,57.04830780029297,8.991860389709473,63.761146545410156
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,24,attn_update,value_pre_norm,1013,22.06480852919764,21.680599212646484,17.836606979370117,26.56481437683106,10.1705904006958,36.99497985839844
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,24,attn_update,value_pre_para_perp_ratio,1013,0.5379017750343706,0.5348814129829407,0.39615694284439085,0.671984887123108,0.201712504029274,0.901330828666687
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,24,attn_update,value_pre_para_ratio,1013,0.46864155048032263,0.47165065278175583,0.36830853366364896,0.5577524146576758,0.19772998321717894,0.6695106444519273
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,24,attn_update,value_pre_perp_ratio,1013,0.8793351964707468,0.881785464104445,0.8300073937179846,0.9297036020690397,0.7428023187050082,0.9802564690577822
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,24,attn_update,value_pre_self_alignment,1013,0.468641550246137,0.471650630235672,0.36830853223800664,0.5577523946762085,0.19772998988628387,0.6695106625556946
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,24,attn_update,value_pre_self_value_norm,1013,65.77006636202512,66.30447387695312,54.8396011352539,75.41478424072267,7.208686828613281,99.22674560546875
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,25,attn_update,value_pre_norm,1013,17.00806088085118,17.056812286376953,13.052731704711913,20.973645019531254,6.45914888381958,27.64621925354004
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,25,attn_update,value_pre_para_perp_ratio,1013,0.5180973333305692,0.5145694017410278,0.3819419205188751,0.666542685031891,0.10783246904611588,0.8153262734413147
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,25,attn_update,value_pre_para_ratio,1013,0.45475874878152045,0.457547515987231,0.35680245158897095,0.5546287577974421,0.10721095524603741,0.6319111258342434
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,25,attn_update,value_pre_perp_ratio,1013,0.8861961500040766,0.8891852463893363,0.8320979364934113,0.9341798526609353,0.7750407987390626,0.99423626923614
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,25,attn_update,value_pre_self_alignment,1013,0.45475874761044094,0.4575474262237549,0.3568024277687073,0.5546287417411804,0.10721097141504288,0.6319111585617065
