model,layer,head,delta_loss,bootstrap_delta_loss,ci95_low,ci95_high,p_improve,sign_flip_p,ci_class,para_ratio,para_over_ref,edit_over_y,edit_over_ref,samples,tokens,sign_flip_q_global,fdr_global_class,sign_flip_q_model,fdr_model_class
qwen3_4b,18,11,0.00028984040910184916,0.00028972731717942036,-0.0004010231415321279,0.0009729831521360916,0.2118,0.4156584341565843,inconclusive,0.065728408501675,0.05358837122813648,0.19811664888228492,0.05358837171532642,128,19526,0.5898444638294791,inconclusive,0.6234876512348765,inconclusive
qwen3_4b,18,12,-0.0009162337836410295,-0.0009163281083119205,-0.0020811747283326775,0.0002804280083682962,0.938,0.1324867513248675,inconclusive,0.2396918490471968,0.1985626220703125,0.4451050798554987,0.19856262499345217,128,19526,0.264973502649735,inconclusive,0.28263840282638397,inconclusive
qwen3_4b,18,13,-0.004351719742266891,-0.00435183100264226,-0.005405865760230188,-0.0033794313690296064,1.0,9.999000099990002e-05,improve,0.13814681334513815,0.1260976150727059,0.3247351810849946,0.12609761458551594,128,19526,0.0005332800053328001,improve,0.0005332800053328001,improve
qwen3_4b,18,14,0.005466081782782961,0.005466039083317315,0.003272930835729501,0.007676164390312338,0.0,9.999000099990002e-05,degrade,0.38290733249708153,0.25207928478489433,0.5764765635913055,0.25207928283613457,128,19526,0.0005332800053328001,degrade,0.0005332800053328001,degrade
qwen3_4b,18,15,0.0004120857686547019,0.0004119920544994057,-0.0011118849324668275,0.0020611729733896753,0.3118,0.5999400059994,inconclusive,0.3697239920858527,0.26075480571956317,0.558043942506286,0.26075480571956317,128,19526,0.7479771503369144,inconclusive,0.778300548323546,inconclusive
qwen3_4b,18,16,0.00438642907213449,0.004386344967496013,0.0031061016134594725,0.005714395798401741,0.0,9.999000099990002e-05,degrade,0.4077261621467912,0.2279171871804034,0.5592242536873653,0.22791719010354305,128,19526,0.0005332800053328001,degrade,0.0005332800053328001,degrade
qwen3_4b,18,17,-0.0009794007629251311,-0.0009794890557011412,-0.0017778762955282645,-0.00016563774291414554,0.9918,0.021497850214978503,improve,0.18889952619413763,0.13235461112030925,0.3583492196230444,0.13235461014592936,128,19526,0.06069981237170401,inconclusive,0.06657398776251407,inconclusive
qwen3_4b,18,18,0.0003705496037333944,0.000370518919215954,-0.0003814617677341371,0.0010933001335833804,0.1678,0.33386661333866613,inconclusive,0.13099132893490456,0.10024698727584586,0.2964725245917894,0.10024698678865591,128,19526,0.4959339117634628,inconclusive,0.5377062293770624,inconclusive
qwen3_4b,18,19,-0.00323817042020913,-0.0032382549888394377,-0.004323194708203474,-0.002156876899410107,1.0,9.999000099990002e-05,improve,0.26632610043346655,0.2017484974282607,0.44638815693471623,0.20174849840264059,128,19526,0.0005332800053328001,improve,0.0005332800053328001,improve
qwen3_4b,18,20,-0.0011239771250513009,-0.0011241232825023992,-0.0020629053414882074,-0.0001853920171503057,0.9898,0.0230976902309769,improve,0.17334008393464265,0.12607756330896916,0.3599561396534263,0.12607756379615911,128,19526,0.06458383287884804,inconclusive,0.0692930706929307,inconclusive
qwen3_4b,18,21,-0.0024737274379353913,-0.002473722102028369,-0.0035530106200594674,-0.0013818752686572471,1.0,9.999000099990002e-05,improve,0.23747401523711886,0.19377772987726244,0.4358582575811432,0.19377772987726244,128,19526,0.0005332800053328001,improve,0.0005332800053328001,improve
qwen3_4b,18,22,0.002318960836672712,0.0023188842657976775,0.0013769612443775268,0.003245302078703062,0.0,0.00019998000199980003,degrade,0.11806800959210743,0.09766739422638603,0.3032326806702985,0.09766739520076591,128,19526,0.0010104252732621476,degrade,0.0009599040095990401,degrade
qwen3_4b,18,23,-0.00012278300407153608,-0.0001228017713231629,-0.0008831115770728113,0.0006158028863080411,0.6372,0.7450254974502549,inconclusive,0.12893050572576803,0.08113508163588562,0.28755372438394244,0.08113508212307556,128,19526,0.848092265872227,inconclusive,0.835763614649771,inconclusive
qwen3_4b,18,24,0.0009197222213330747,0.0009196618291231058,-9.922078295377422e-05,0.0019951184148848966,0.0366,0.08509149085091491,inconclusive,0.22992288874483657,0.1564424663363441,0.41769222878252715,0.1564424663363441,128,19526,0.19449483623066266,inconclusive,0.21496797688652186,inconclusive
qwen3_4b,18,25,0.0007090781001934943,0.0007089991605173158,-0.00014310947073757757,0.001576060199475519,0.0518,0.10648935106489352,inconclusive,0.1571601482795725,0.10235448474323765,0.33464464696735563,0.10235448376885777,128,19526,0.225332211304417,inconclusive,0.24340423100547087,inconclusive
qwen3_4b,18,26,-0.0012213157896843185,-0.0012213657176556871,-0.0020271175102076744,-0.00040009501527401594,0.9982,0.005699430056994301,improve,0.19618256959878622,0.12495818594863131,0.3825013707576279,0.12495818594863131,128,19526,0.020264640202646404,improve,0.021044049441209727,improve
qwen3_4b,18,27,-0.0016356521633014154,-0.0016357322141160294,-0.0028055104137700067,-0.0005387494309980154,0.9996,0.003999600039996,improve,0.21475521297138161,0.13016312697838092,0.40690153275413077,0.13016312697838092,128,19526,0.01535846415358464,improve,0.01535846415358464,improve
qwen3_4b,18,28,-0.001682277196110249,-0.001682345891333403,-0.0024868330774284555,-0.0008537787660490599,1.0,0.0004999500049995,improve,0.21997047463291602,0.16996237558727825,0.4073031701956368,0.16996237607446818,128,19526,0.002181600021816,improve,0.002181600021816,improve
qwen3_4b,18,29,0.001536337967645629,0.001536335977364622,0.0003769439483409594,0.0027678308095827444,0.0044,0.0156984301569843,degrade,0.26880537011157507,0.25451689972274605,0.46980937309801046,0.25451689972274605,128,19526,0.04861449338937073,degrade,0.0519672170713963,inconclusive
qwen3_4b,18,30,-0.0016645599337103967,-0.001664615478425757,-0.0025661831275999238,-0.0008133971512260924,1.0,0.00039996000399960006,improve,0.17469156102050157,0.16222263496954323,0.3670078077840013,0.16222263496954323,128,19526,0.0018283885897124575,improve,0.0018283885897124573,improve
qwen3_4b,18,31,0.0036486307519458805,0.0036486025827531503,0.0025169841321038893,0.004820321815874833,0.0,9.999000099990002e-05,degrade,0.24938629267316212,0.18791370221329223,0.44331480296635534,0.18791370221329223,128,19526,0.0005332800053328001,degrade,0.0005332800053328001,degrade
qwen3_4b,31,0,-0.0001361365935164116,-0.00013620190648261878,-0.0006810238690178886,0.0003830692121946371,0.6934,0.6292370762923708,inconclusive,0.13017421054961886,0.0287428039852839,0.2800059263733612,0.0287428039852839,128,19526,0.769102750741875,inconclusive,0.7942901912340411,inconclusive
qwen3_4b,31,1,0.0004246891564450017,0.0004246116942171556,-0.0005396895518188958,0.0015875937587135772,0.228,0.5141485851414859,inconclusive,0.21726476686363172,0.044183557517683825,0.37744204349444743,0.044183557517683825,128,19526,0.6823723157638154,inconclusive,0.6855314468553144,inconclusive
qwen3_4b,31,2,0.00038839189974249066,0.000388388456434277,-0.0005623924494762786,0.0014002900351152447,0.2242,0.45465453454654536,inconclusive,0.23064541433049343,0.06262569013378781,0.3994288224065593,0.0626256894030029,128,19526,0.6325628306734544,inconclusive,0.6714897740995132,inconclusive
qwen3_4b,31,3,-0.0008255219002868408,-0.0008255656376293323,-0.0018138376645482508,0.00015160939938351487,0.95,0.11178882111788821,inconclusive,0.25711689799224735,0.11545277129035647,0.44373261901153915,0.11545277129035647,128,19526,0.2299655748710843,inconclusive,0.2439028824390288,inconclusive
qwen3_4b,31,4,-0.000387704214892981,-0.00038777879548710194,-0.0009353384384268784,0.0001333964307305882,0.926,0.14708529147085292,inconclusive,0.08547832713121047,0.026048992298267504,0.22458272376127475,0.026048992420064993,128,19526,0.28240375962403763,inconclusive,0.3069606082869974,inconclusive
qwen3_4b,31,5,8.964909767872342e-06,8.841817598539238e-06,-0.000520178922846457,0.0005316463920936615,0.4798,0.9726027397260274,inconclusive,0.08175827893565289,0.025612270238299022,0.2189198305171416,0.025612270116501537,128,19526,0.9832159641178739,inconclusive,0.9798020197980201,inconclusive
qwen3_4b,31,6,7.885869721757643e-05,7.879574084201334e-05,-0.0004167216238435741,0.0005760903704584355,0.3726,0.7618238176182381,inconclusive,0.07593770447361972,0.023211472731744953,0.20600335619306503,0.023211472731744953,128,19526,0.8557655862320744,inconclusive,0.835763614649771,inconclusive
qwen3_4b,31,7,-0.00026899730647622633,-0.0002690212753211501,-0.0007845686846519924,0.00021755047443116338,0.8476,0.3056694330566943,inconclusive,0.07913280647833229,0.021877509880796703,0.21185320760402948,0.021877509880796703,128,19526,0.4732946060232686,inconclusive,0.5059356133352182,inconclusive
qwen3_4b,31,8,0.00037595105564358633,0.00037583434946844964,-0.0003029623008204775,0.0010272485306178595,0.1304,0.27587241275872415,inconclusive,0.19444472214271283,0.051804947639942776,0.3560784175478179,0.051804947639942776,128,19526,0.4465153484651535,inconclusive,0.49056147016877266,inconclusive
qwen3_4b,31,9,-0.0007197184603220386,-0.0007197853850497827,-0.0014346174229358537,-1.1155977475517678e-06,0.975,0.053594640535946404,improve,0.3081952929344518,0.1492682903966989,0.4792330901437031,0.149268289422319,128,19526,0.13192526901156038,inconclusive,0.14291904142919043,inconclusive
qwen3_4b,31,10,0.0020718194050561856,0.0020717183158715877,0.0010869255626668529,0.0029811780079221713,0.0,9.999000099990002e-05,degrade,0.4669329218176285,0.15302184240114644,0.5951926727100046,0.15302184240114644,128,19526,0.0005332800053328001,degrade,0.0005332800053328001,degrade
qwen3_4b,31,11,-0.0011285283484201436,-0.0011285872021305576,-0.0023262775932340876,0.00015052669490878866,0.9588,0.09209079092090791,inconclusive,0.32204523293603576,0.128529166931698,0.47689100828207315,0.128529166931698,128,19526,0.20559804484667812,inconclusive,0.2266850238053118,inconclusive
qwen3_4b,31,12,0.0003512944279422392,0.00035122907834500913,-0.00025266006813261797,0.0009648828953452573,0.1316,0.26317368263173685,inconclusive,0.11490289826959486,0.030665057341866718,0.23542853558809518,0.030665057341866718,128,19526,0.4393197043931971,inconclusive,0.4901048356702792,inconclusive
qwen3_4b,31,13,-0.00011589365221365,-0.00011596940499793845,-0.0006037495824947368,0.0003880551301590056,0.6694,0.6495350464953504,inconclusive,0.06032243804152137,0.019515793655414997,0.17157741415089575,0.019515793655414997,128,19526,0.7827033196261963,inconclusive,0.7942901912340411,inconclusive
