method,component,layer,alpha,alpha_std,para_abs,para_abs_std,perp_abs,perp_abs_std,x_norm,x_norm_std,delta_norm,delta_norm_std,delta_over_x,delta_over_x_std,para_over_x,para_over_x_std,perp_over_x,perp_over_x_std,perp_ratio,perp_ratio_std,count
dense_baseline_track,attn_out,31,-1.0,0.0,33.54866409301758,5.896807670593262,0.0,0.0,33.54866409301758,5.896807670593262,33.54866409301758,5.896807670593262,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,32,-1.0,0.0,50.74318313598633,11.684596061706543,0.0,0.0,50.74318313598633,11.684596061706543,50.74318313598633,11.684596061706543,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,33,-1.0,0.0,53.45046615600586,14.546245574951172,0.0,0.0,53.45046615600586,14.546245574951172,53.45046615600586,14.546245574951172,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,34,-1.0,0.0,106.57508087158203,16.721145629882812,0.0,0.0,106.57508087158203,16.721145629882812,106.57508087158203,16.721145629882812,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,35,-1.0,0.0,108.55734252929688,18.180034637451172,0.0,0.0,108.55734252929688,18.180034637451172,108.55734252929688,18.180034637451172,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,0,-1.0,0.0,4.924187183380127,1.8690681457519531,0.0,0.0,4.924187183380127,1.8690681457519531,4.924187183380127,1.8690681457519531,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,1,-1.0,0.0,2.155550956726074,0.9247154593467712,0.0,0.0,2.155550956726074,0.9247154593467712,2.155550956726074,0.9247154593467712,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,2,-1.0,0.0,3.589118003845215,0.8690676689147949,0.0,0.0,3.589118003845215,0.8690676689147949,3.589118003845215,0.8690676689147949,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,3,-1.0,0.0,6.195565700531006,5.021823406219482,0.0,0.0,6.195565700531006,5.021823406219482,6.195565700531006,5.021823406219482,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,4,-1.0,0.0,8.74682903289795,1.7499237060546875,0.0,0.0,8.74682903289795,1.7499237060546875,8.74682903289795,1.7499237060546875,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,5,-1.0,0.0,10.169266700744629,4.168041229248047,0.0,0.0,10.169266700744629,4.168041229248047,10.169266700744629,4.168041229248047,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,6,-1.0,0.0,10.402653694152832,2.5103909969329834,0.0,0.0,10.402653694152832,2.5103909969329834,10.402653694152832,2.5103909969329834,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,7,-1.0,0.0,10.795517921447754,3.672422409057617,0.0,0.0,10.795517921447754,3.672422409057617,10.795517921447754,3.672422409057617,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,8,-1.0,0.0,14.937820434570312,3.609757661819458,0.0,0.0,14.937820434570312,3.609757661819458,14.937820434570312,3.609757661819458,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,9,-1.0,0.0,15.593493461608887,5.000027656555176,0.0,0.0,15.593493461608887,5.000027656555176,15.593493461608887,5.000027656555176,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,10,-1.0,0.0,15.17504596710205,3.5631487369537354,0.0,0.0,15.17504596710205,3.5631487369537354,15.17504596710205,3.5631487369537354,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,mlp_out,11,-1.0,0.0,14.45043659210205,3.5118751525878906,0.0,0.0,14.45043659210205,3.5118751525878906,14.45043659210205,3.5118751525878906,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
